Número do Alimento;Descrição dos alimentos;Tipo dos alimentos;Umidade %;Energia kcal;Energia kj;Proteína g;Lipídeos g;Colesterol g;Carboidrato g;Fibra g;Cinzas g;Cálcio g;Magnésio g;Número do alimento;Manganês mg;Fósforo mg;Ferro mg;Sódio mg;Potássio mg;Cobre mg;Zinco mg;Retinol mcg;RE mcg;RAE mcg;Tiamina mg;Riboflavina mg;Piridoxina mg;Niacina mg;Vitamina C mg
1;Arroz integral;Cereais e derivados;70.1;124;517;2.6;1.0;NA;25.8;2.7;0.5;5;59;1;0.63;106;0.3;1;75;0.02;0.7;NA;;;0.08;Tr;0.08;Tr;
3;Arroz branco;Cereais e derivados;69.1;128;537;2.5;0.2;NA;28.1;1.6;0.1;4;2;3;0.30;18;0.1;1;15;0.02;0.5;NA;;;Tr;Tr;Tr;Tr;
7;Aveia;Cereais e derivados;9.1;394;1648;13.9;8.5;NA;66.6;9.1;1.8;48;119;7;1.89;153;4.4;5;336;0.44;2.6;NA;;;0.55;0.03;Tr;4.47;1.4
8;Biscoito maisena;Cereais e derivados;3.2;443;1853;8.1;12.0;NA;75.2;2.1;1.5;54;37;8;0.78;166;1.8;352;142;0.17;1.0;NA;;;1.01;0.42;0.23;3.91;6.2
9;Biscoito recheado com chocolate;Cereais e derivados;2.2;472;1974;6.4;19.6;Tr;70.5;3.0;1.3;27;48;9;0.59;139;2.3;239;232;0.27;1.0;Tr; ; ;0.32;0.39;0.46;2.52;3.5
13;Biscoito cream cracker;Cereais e derivados;4.1;432;1806;10.1;14.4;NA;68.7;2.5;2.7;20;40;13;0.69;148;2.2;854;181;0.18;1.1;NA;;;0.71;0.13;0.17;7.14;
16;Bolo de chocolate;Cereais e derivados;19.3;410;1715;6.2;18.5;77;54.7;1.4;1.3;75;28;16;0.38;197;2.1;283;212;0.05;0.7;Tr; ; ;0.13;0.09;0.05;Tr;Tr
25;Cereal matinal;Cereais e derivados;5.5;365;1529;7.2;1.0;NA;83.8;4.1;2.5;143;11;25;0.06;101;3.1;655;83;0.06;7.6;NA;31;15;0.76;1.02;2.25;11.04;17.3
33;Farinha de milho;Cereais e derivados;11.8;351;1467;7.2;1.5;NA;79.1;5.5;0.5;1;31;33;Tr;84;2.3;45;58;0.27;0.6;NA;18;9;0.25;Tr;0.25;Tr;Tr
35;Farinha de trigo;Cereais e derivados;13.0;360;1508;9.8;1.4;NA;75.1;2.3;0.8;18;31;35;0.46;115;1.0;1;151;0.15;0.8;NA;;;0.31;Tr;Tr;0.89;Tr
37;Lasanha;Cereais e derivados;59.6;164;685;5.8;1.2;NA;32.5;1.6;0.9;10;4;37;0.20;42;1.2;207;54;0.07;0.4;NA;;;0.04;Tr;Tr;3.96; 
40;Macarrão;Cereais e derivados;10.2;371;1553;10.0;1.3;NA;77.9;2.9;0.5;17;28;40;0.53;100;0.9;7;147;0.15;0.8;NA;;;0.18;0.02;Tr;3.57;Tr
42;Amido de milho;Cereais e derivados;12.2;361;1512;0.6;Tr;NA;87.1;0.7;0.1;1;3;42;0.02;13;0.1;8;9;0.02;0.1;NA;;;Tr;Tr;Tr;Tr;Tr
44;Milho verde;Cereais e derivados;63.5;138;578;6.6;0.6;NA;28.6;3.9;0.7;2;33;44;0.12;113;0.4;1;185;0.05;0.5;NA;32;16;0.30;Tr;0.04;Tr;Tr
48;Pão de forma;Cereais e derivados;19.9;343;1435;12.4;5.7;Tr;59.6;6.0;2.5;109;57;48;1.08;182;4.7;606;210;0.14;1.7;Tr; ; ;0.09;0.03;0.08;Tr;Tr
52;Pão de forma integral;Cereais e derivados;34.7;253;1059;9.4;3.7;NA;49.9;6.9;2.3;132;60;52;1.62;193;3.0;506;163;0.15;1.6;NA;;;0.08;0.04;0.15;Tr;Tr
53;Pão francês;Cereais e derivados;28.5;300;1254;8.0;3.1;NA;58.6;2.3;1.8;16;25;53;0.46;95;1.0;648;142;0.13;0.8;3;;;0.39;0.67;0.60;2.34; 
61;Pipoca sem sal;Cereais e derivados;2.8;448;1876;9.9;15.9;NA;70.3;14.3;1.0;3;91;61;0.65;225;1.2;4;256;0.46;2.0;NA;;;0.03;0.03;Tr;Tr;Tr
62;Polenta;Cereais e derivados;72.7;103;430;2.3;0.3;NA;23.3;2.4;1.4;1;4;62;Tr;17;Tr;442;100;0.04;0.1;NA;;;0.04;Tr;Tr;Tr;Tr
121;Farinha de mandioca;Verduras e derivados;9.4;361;1510;1.6;0.3;NA;87.9;6.4;0.9;65;37;121;Tr;42;1.1;1;340;0.08;0.4;NA;;;0.14;Tr;0.04;Tr;Tr
146;Polvilho;Verduras e derivados;12.6;351;1470;0.4;Tr;NA;86.8;0.2;0.2;27;4;146;0.09;8;0.5;2;38;Tr;Tr;NA;;;Tr;Tr;Tr;Tr;Tr
64;Abóbora cabotian;Verduras e derivados;86.4;48;201;1.4;0.7;NA;10.8;2.5;0.7;8;9;64;0.26;33;0.3;1;199;0.06;0.3;NA;;;0.08;Tr;0.07;Tr;7.5
67;Abóbora moranga;Verduras e derivados;95.9;12;52;1.0;0.1;NA;2.7;1.7;0.4;3;2;67;0.01;8;Tr;Tr;125;0.05;0.1;NA;278;139;Tr;Tr;0.06;Tr;9.6
70;Abobrinha;Verduras e derivados;95.3;15;63;1.1;0.2;NA;3.0;1.6;0.4;17;17;70;0.11;22;0.2;1;126;0.01;0.3;NA;;;0.05;Tr;0.06;Tr;2.1
74;Acelga;Verduras e derivados;93.2;21;88;1.4;0.1;NA;4.6;1.1;0.6;43;10;74;0.11;40;0.3;1;240;0.10;0.3;NA;;;0.04;Tr;0.16;Tr;22.6
75;Agrião;Verduras e derivados;93.9;17;69;2.7;0.2;NA;2.3;2.1;0.9;133;18;75;0.28;51;3.1;7;218;0.10;0.7;NA;458;229;0.11;0.23;0.09;1.19;60.1
77;Alface;Verduras e derivados;97.2;9;37;0.6;0.1;NA;1.7;1.0;0.3;14;6;77;0.12;19;0.3;7;136;0.02;0.2;NA;;;0.03;Tr;0.04;Tr;11.0
81;Alfavaca;Verduras e derivados;90.2;29;122;2.7;0.5;NA;5.2;4.1;1.4;258;84;81;0.15;50;1.3;5;261;0.15;0.7;NA;;;Tr;0.12;0.56;Tr;Tr
82;Alho;Verduras e derivados;67.5;113;473;7.0;0.2;NA;23.9;4.3;1.3;14;21;82;0.24;149;0.8;5;535;0.15;0.8;NA;;;0.18;Tr;0.44;Tr;*
83;Alho-poró;Verduras e derivados;91.0;32;132;1.4;0.1;NA;6.9;2.5;0.6;34;11;83;0.10;36;0.6;2;224;0.29;0.2;NA;16;8;0.06;Tr;0.08;0.34;14.1
84;Almeirão;Verduras e derivados;93.7;18;75;1.8;0.2;NA;3.3;2.6;1.0;19;21;84;0.17;40;0.7;2;369;0.10;0.3;NA;566;283;0.10;0.18;Tr;0.63;1.7
86;Batata;Verduras e derivados;79.3;80;335;0.9;0.2;NA;18.9;1.8;0.8;12;8;86;0.22;29;0.4;2;258;0.15;0.4;NA;;;0.06;Tr;Tr;1.98;17.1
88;Batata doce;Verduras e derivados;80.4;77;321;0.6;0.1;NA;18.4;2.2;0.4;17;11;88;0.14;15;0.2;3;148;0.06;0.1;NA;;;0.08;Tr;0.05;2.57;23.8
93;Batata inglesa frita;Verduras e derivados;44.1;267;1118;5.0;13.1;NA;35.6;8.1;2.2;6;14;93;0.15;70;0.4;2;489;0.10;0.4;NA;;;0.17;Tr;0.10;2.51;16.3
96;Berinjela;Verduras e derivados;93.8;20;82;1.2;0.1;NA;4.4;2.9;0.4;9;13;96;0.10;20;0.2;Tr;205;0.06;0.1;NA;24;12;0.04;0.05;Tr;Tr;3.0
97;Beterraba;Verduras e derivados;90.6;32;135;1.3;0.1;NA;7.2;1.9;0.8;15;17;97;0.19;30;0.2;23;245;0.04;0.4;NA;;;0.09;Tr;Tr;Tr;1.2
100;Brócolis;Verduras e derivados;92.6;25;103;2.1;0.5;NA;4.4;3.4;0.4;51;15;100;0.12;33;0.5;2;119;0.08;0.2;NA;;;0.04;0.03;Tr;Tr;42.0
101;Brócolis;Verduras e derivados;91.2;25;107;3.6;0.3;NA;4.0;2.9;0.8;86;30;101;0.26;78;0.6;3;322;0.06;0.5;NA;279;140;0.12;0.18;0.08;1.39;34.3
102;Cará;Verduras e derivados;78.9;78;325;1.5;0.1;NA;18.9;2.6;0.6;5;15;102;0.02;28;0.3;1;203;0.11;0.2;NA;;;0.12;Tr;0.12;Tr;Tr
104;Caruru;Verduras e derivados;87.6;34;142;3.2;0.6;NA;6.0;4.5;2.6;455;197;104;0.89;77;4.5;14;279;0.37;6.0;NA;1906;953;Tr;0.10;0.11;Tr;5.4
107;Cebola;Verduras e derivados;88.9;39;165;1.7;0.1;NA;8.9;2.2;0.4;14;12;107;0.13;38;0.2;1;176;0.05;0.2;NA;;;0.04;Tr;0.14;Tr;4.7
108;Cebolinha;Verduras e derivados;93.9;20;82;1.9;0.4;NA;3.4;3.6;0.5;80;25;108;0.13;27;0.6;2;206;0.04;0.3;NA;134;67;0.03;0.04;0.08;Tr;31.8
109;Cenoura;Verduras e derivados;91.7;30;125;0.8;0.2;NA;6.7;2.6;0.6;26;14;109;0.05;27;0.1;8;176;0.02;0.2;NA;612;306;0.07;Tr;0.06;2.68;Tr
111;Chicória;Verduras e derivados;95.1;14;58;1.1;0.1;NA;2.9;2.2;0.8;45;14;111;0.13;13;0.5;14;425;0.04;0.1;NA;;;0.03;0.10;Tr;0.68;6.5
112;Chuchu;Verduras e derivados;94.6;19;78;0.4;Tr;NA;4.8;1.0;0.2;8;7;112;0.07;13;0.1;2;54;Tr;0.1;NA;;;0.03;Tr;Tr;Tr;5.6
114;Coentro;Verduras e derivados;10.6;309;1293;20.9;10.4;NA;48.0;37.3;10.2;784;393;114;10.48;388;81.4;18;3223;4.09;4.7;NA;;;0.10;0.11;0.09;Tr;40.8
115;Couve;Verduras e derivados;90.9;27;113;2.9;0.5;NA;4.3;3.1;1.3;131;35;115;1.02;49;0.5;6;403;0.06;0.4;NA;496;248;0.20;0.31;0.06;2.29;96.7
117;Couve-flor;Verduras e derivados;92.8;23;94;1.9;0.2;NA;4.5;2.4;0.6;18;12;117;0.16;57;0.5;3;256;0.03;0.3;NA;2;1;0.03;0.09;0.10;Tr;36.1
119;Espinafre;Verduras e derivados;94.0;16;67;2.0;0.2;NA;2.6;2.1;1.2;98;82;119;0.71;25;0.4;17;336;0.06;0.3;NA;484;242;0.10;0.21;0.06;Tr;2.4
126;Inhame;Verduras e derivados;73.3;97;405;2.1;0.2;NA;23.2;1.7;1.2;12;29;126;0.15;65;0.4;Tr;568;0.17;0.3;NA;;;0.08;Tr;0.11;Tr;5.6
127;Jiló;Verduras e derivados;91.6;27;114;1.4;0.2;NA;6.2;4.8;0.6;20;21;127;0.14;29;0.3;Tr;213;0.07;0.1;NA;13;6;0.07;0.04;Tr;Tr;6.8
129;Mandioca cozida;Verduras e derivados;68.7;125;524;0.6;0.3;NA;30.1;1.6;0.4;19;27;129;0.06;22;0.1;1;100;0.01;0.2;NA;;;0.06;Tr;0.03;Tr;11.1
130;Mandioca crua;Verduras e derivados;61.8;151;634;1.1;0.3;NA;36.2;1.9;0.6;15;44;130;0.05;29;0.3;2;208;0.07;0.2;NA;;;Tr;Tr;0.04;Tr;16.5
133;Manjericão;Verduras e derivados;93.0;21;88;2.0;0.4;NA;3.6;3.3;1.0;211;58;133;0.17;40;1.0;4;252;0.16;0.5;NA;1035;517;0.06;0.21;0.06;0.90;2.3
134;Maxixe;Verduras e derivados;95.1;14;58;1.4;0.1;NA;2.7;2.2;0.7;21;10;134;0.07;25;0.4;11;328;0.02;0.2;NA;6;3;0.06;0.02;0.04;Tr;9.6
135;Folha de mostarda;Verduras e derivados;93.4;18;76;2.1;0.2;NA;3.2;1.9;1.1;68;16;135;0.14;58;1.1;3;364;0.05;0.3;NA;;;0.05;0.04;0.05;Tr;38.6
137;Nabo;Verduras e derivados;93.8;18;76;1.2;0.1;NA;4.1;2.6;0.8;42;15;137;4.42;17;0.2;2;280;0.02;0.2;NA;;;0.07;Tr;0.03;Tr;9.6
138;Palmito juçara;Verduras e derivados;91.4;23;97;1.8;0.4;NA;4.3;3.2;2.1;58;34;138;10.82;40;0.3;514;244;0.23;0.7;NA;;;0.06;0.04;Tr;Tr;2.0
142;Pepino;Verduras e derivados;96.8;10;40;0.9;Tr;NA;2.0;1.1;0.3;10;9;142;0.08;12;0.1;Tr;154;0.04;0.1;NA;4;2;Tr;0.03;Tr;Tr;5.0
143;Pimentão amarelo;Verduras e derivados;91.9;28;117;1.2;0.4;NA;6.0;1.9;0.5;10;11;143;0.08;22;0.4;Tr;221;0.04;0.2;NA;40;20;0.04;0.03;0.06;Tr;201.4
144;Pimentão verde;Verduras e derivados;93.5;21;89;1.1;0.2;NA;4.9;2.6;0.4;9;8;144;0.14;17;0.4;Tr;174;0.07;0.1;NA;46;23;Tr;Tr;Tr;Tr;100.2
145;Pimentão vermelho;Verduras e derivados;92.9;23;97;1.0;0.1;NA;5.5;1.6;0.4;6;11;145;0.06;20;0.3;Tr;211;0.04;0.2;NA;86;43;0.05;0.06;0.02;Tr;158.2
147;Quiabo;Verduras e derivados;90.6;30;125;1.9;0.3;NA;6.4;4.6;0.8;112;50;147;0.46;56;0.4;1;249;0.17;0.6;NA;49;25;0.10;Tr;0.03;Tr;5.6
148;Rabanete;Verduras e derivados;95.1;14;57;1.4;0.1;NA;2.7;2.2;0.7;21;10;148;0.07;25;0.4;11;328;0.02;0.2;NA;;;0.06;0.02;0.04;Tr;9.6
149;Repolho branco;Verduras e derivados;94.7;17;72;0.9;0.1;NA;3.9;1.9;0.4;35;9;149;0.13;14;0.2;4;150;0.02;0.2;NA;6;3;Tr;0.03;0.06;Tr;18.7
152;Rúcula;Verduras e derivados;94.8;13;55;1.8;0.1;NA;2.2;1.7;1.1;117;18;152;0.24;25;0.9;9;233;0.04;0.2;NA;533;266;0.04;Tr;Tr;0.35;46.3
153;Salsa;Verduras e derivados;88.7;33;140;3.3;0.6;NA;5.7;1.9;1.8;179;21;153;1.88;49;3.2;2;711;0.20;1.3;NA;1743;872;0.12;0.15;0.47;0.72;51.7
157;Tomate;Verduras e derivados;95.1;15;64;1.1;0.2;NA;3.1;1.2;0.5;7;11;157;0.07;20;0.2;1;222;0.04;0.1;NA;54;27;0.12;Tr;0.02;Tr;21.2
162;Vagem;Verduras e derivados;92.2;25;104;1.8;0.2;NA;5.3;2.4;0.5;41;18;162;0.50;28;0.4;Tr;208;0.06;0.3;NA;32;16;Tr;0.08;Tr;Tr;1.2
163;Abacate;Frutas e derivados;83.8;96;402;1.2;8.4;NA;6.0;6.3;0.5;8;15;163;0.17;22;0.2;Tr;206;0.15;0.2;NA;;;Tr;0.04;Tr;Tr;8.7
164;Abacaxi;Frutas e derivados;86.3;48;202;0.9;0.1;NA;12.3;1.0;0.4;22;18;164;1.62;13;0.3;Tr;131;0.11;0.1;NA;;;0.17;0.02;Tr;Tr;34.6
169;Acerola;Frutas e derivados;90.5;33;140;0.9;0.2;NA;8.0;1.5;0.4;13;13;169;0.07;9;0.2;Tr;165;0.07;0.1;NA;247;124;Tr;0.04;Tr;1.38;941.4
170;Polpa de acerola;Frutas e derivados;93.6;22;92;0.6;Tr;NA;5.5;0.7;0.3;8;9;170;0.03;13;0.2;1;112;0.04;0.1;NA;192;96;Tr;0.10;Tr;Tr;623.2
172;Ameixa;Frutas e derivados;84.8;53;220;0.8;Tr;NA;13.9;2.4;0.6;6;5;172;0.03;14;0.1;Tr;134;0.06;0.1;NA;27;14;0.07;Tr;0.03;Tr;7.6
175;Banana da terra;Frutas e derivados;63.9;128;536;1.4;0.2;NA;33.7;1.5;0.8;4;24;175;0.16;26;0.3;Tr;328;0.05;0.2;NA;239;119;0.03;0.02;0.14;Tr;15.7
178;Banana maçã;Frutas e derivados;75.2;87;363;1.8;0.1;NA;22.3;2.6;0.6;3;24;178;0.60;29;0.2;Tr;264;0.11;0.1;NA;6;3;Tr;Tr;0.14;Tr;10.5
179;Banana nanica;Frutas e derivados;73.8;92;383;1.4;0.1;NA;23.8;1.9;0.8;3;28;179;0.14;27;0.3;Tr;376;0.10;0.2;NA;14;7;Tr;0.02;0.14;Tr;5.9
182;Banana prata;Frutas e derivados;71.9;98;411;1.3;0.1;NA;26.0;2.0;0.8;8;26;182;0.42;22;0.4;Tr;358;0.05;0.1;NA;32;16;Tr;0.02;0.10;Tr;21.6
183;Cacau;Frutas e derivados;79.2;74;311;1.0;0.1;NA;19.4;2.2;0.3;12;25;183;0.04;9;0.3;1;72;0.15;0.6;NA;;;0.25;Tr;0.04;Tr;13.6
184;Cajá-Manga;Frutas e derivados;86.9;46;191;1.3;Tr;NA;11.4;2.6;0.4;13;11;184;0.05;24;0.2;1;119;0.02;0.2;NA;;;0.11;Tr;0.05;Tr;26.7
186;Caju;Frutas e derivados;88.1;43;180;1.0;0.3;NA;10.3;1.7;0.3;1;10;186;0.12;16;0.2;3;124;0.07;0.1;NA;15;7;Tr;Tr;Tr;Tr;219.3
189;Caqui;Frutas e derivados;79.7;71;299;0.4;0.1;NA;19.3;6.5;0.5;18;9;189;0.39;18;0.1;2;164;Tr;0.2;NA;;;Tr;Tr;0.03;Tr;29.6
190;Carambola;Frutas e derivados;87.1;46;191;0.9;0.2;NA;11.5;2.0;0.4;5;7;190;0.13;11;0.2;4;133;0.08;0.2;NA;;;0.12;Tr;Tr;Tr;60.9
191;Ciriguela;Frutas e derivados;78.7;76;316;1.4;0.4;NA;18.9;3.9;0.7;27;18;191;0.06;49;0.4;2;248;0.12;0.5;NA;;;0.14;Tr;Tr;Tr;27.0
192;Cupuaçu;Frutas e derivados;86.2;49;207;1.2;1.0;NA;10.4;3.1;1.2;13;18;192;0.07;21;0.5;3;331;0.07;0.3;NA;;;0.37;0.04;0.07;4.34;24.5
194;Figo;Frutas e derivados;88.2;41;173;1.0;0.2;NA;10.2;1.8;0.4;27;11;194;0.06;15;0.2;Tr;174;0.13;0.1;NA;;;0.05;Tr;Tr;Tr;0.8
196;Fruta-pão;Frutas e derivados;80.9;67;281;1.1;0.2;NA;17.2;5.5;0.7;34;24;196;0.04;27;0.2;1;188;0.07;0.1;NA;;;0.03;Tr;Tr;Tr;9.9
197;Goiaba branca;Frutas e derivados;85.7;52;216;0.9;0.5;NA;12.4;6.3;0.5;5;7;197;0.07;16;0.2;Tr;220;0.04;0.2;NA;;;Tr;Tr;0.03;Tr;99.2
200;Goiaba vermelha;Frutas e derivados;85.0;54;227;1.1;0.4;NA;13.0;6.2;0.5;4;7;200;0.09;15;0.2;Tr;198;0.04;0.1;NA;38;19;Tr;Tr;0.03;Tr;80.6
201;Graviola;Frutas e derivados;82.2;62;258;0.8;0.2;NA;15.8;1.9;1.0;40;23;201;0.08;19;0.2;4;250;0.04;0.1;NA;;;0.17;0.12;0.03;Tr;19.1
203;Jabuticaba;Frutas e derivados;83.6;58;243;0.6;0.1;NA;15.3;2.3;0.4;8;18;203;0.30;15;0.1;Tr;130;0.07;0.3;NA;;;0.06;Tr;Tr;Tr;16.2
204;Jaca;Frutas e derivados;75.1;88;368;1.4;0.3;NA;22.5;2.4;0.8;11;40;204;0.48;14;0.4;2;234;0.09;0.2;NA;;;0.10;0.04;0.05;Tr;14.8
205;Jambo;Frutas e derivados;92.1;27;113;0.9;0.1;NA;6.5;5.1;0.5;14;14;205;0.05;18;0.1;22;135;0.02;0.1;NA;;;0.08;Tr;Tr;1.18;3.8
206;Jamelão;Frutas e derivados;87.7;41;172;0.5;0.1;NA;10.6;1.8;1.0;3;2;206;Tr;4;0.0;1;394;0.03;0.0;NA;8;4;0.17;Tr;0.12;Tr;27.1
207;Kiwi;Frutas e derivados;85.9;51;214;1.3;0.6;NA;11.5;2.7;0.7;24;11;207;0.05;33;0.3;Tr;269;0.15;0.1;NA;5;3;Tr;Tr;0.06;Tr;70.8
208;Laranja baía;Frutas e derivados;87.1;45;190;1.0;0.1;NA;11.5;1.1;0.4;35;9;208;0.04;24;0.1;Tr;174;0.04;0.1;NA;4;2;0.06;0.02;Tr;Tr;56.9
210;Laranja da terra;Frutas e derivados;85.4;51;215;1.1;0.2;NA;12.9;4.0;0.5;51;14;210;0.04;20;0.1;1;173;0.04;0.2;NA;;;0.07;0.09;0.03;Tr;34.7
212;Laranja lima;Frutas e derivados;87.0;46;191;1.1;0.1;NA;11.5;1.8;0.4;31;10;212;0.05;15;0.1;1;130;0.03;0.1;NA;;;0.09;0.05;0.04;Tr;43.5
214;Laranja pêra;Frutas e derivados;89.6;37;154;1.0;0.1;NA;8.9;0.8;0.3;22;9;214;0.05;23;0.1;Tr;163;0.03;0.1;NA;1;0;0.07;0.02;0.02;Tr;53.7
216;Laranja valência;Frutas e derivados;86.9;46;193;0.8;0.2;NA;11.7;1.7;0.4;34;14;216;0.06;20;0.1;1;158;0.04;0.1;NA;;;0.07;0.04;0.03;Tr;47.8
218;Limão cravo;Frutas e derivados;94.2;14;59;0.3;Tr;NA;5.2;Tr;0.2;10;9;218;0.03;11;0.1;Tr;120;0.03;;NA;31;16;Tr;Tr;Tr;Tr;32.8
